Species,longitude,latitude
Helianthus angustifolius,-86.93,31.44
Helianthus angustifolius,-95.11,29.67
Helianthus angustifolius,-95.92,29.93
Helianthus angustifolius,-88.95,30.77
Helianthus angustifolius,-92.78,34.9
Helianthus angustifolius,-86.74,33.02
Helianthus angustifolius,-95.6,29.9
Helianthus angustifolius,-95.6,29.9
Helianthus angustifolius,-95.61,29.92
Helianthus angustifolius,-95.56,28.94
Helianthus angustifolius,-79.05,36.04
Helianthus angustifolius,-95.44,29.77
Helianthus angustifolius,-95.51,29.94
Helianthus angustifolius,-90.16,30.51
Helianthus angustifolius,-87.6,32.7
Helianthus angustifolius,-94.95,29.46
Helianthus angustifolius,-87.01,33.2
Helianthus angustifolius,-90.7,35.77
Helianthus angustifolius,-76.94,35.99
Helianthus angustifolius,-88.9,30.71
Helianthus angustifolius,-83.39,30.8
Helianthus angustifolius,-85.2,29.7
Helianthus angustifolius,-95.29,29.44
Helianthus angustifolius,-97.6,33.59
Helianthus angustifolius,-88.63,30.38
Helianthus angustifolius,-85.94,32.57
Helianthus angustifolius,-83.91,34.35
Helianthus angustifolius,-89.92,32.54
Helianthus angustifolius,-89.36,30.68
Helianthus angustifolius,-93.63,33.75
Helianthus angustifolius,-75.66,35.87
Helianthus angustifolius,-90.51,30.65
Helianthus angustifolius,-94.95,29.46
Helianthus angustifolius,-95.4,29.76
Helianthus angustifolius,-95.45,29.77
Helianthus angustifolius,-91.11,30.37
Helianthus angustifolius,-84.08,30.52
Helianthus angustifolius,-82.54,29.47
Helianthus angustifolius,-88.63,30.57
Helianthus angustifolius,-93.16,34.25
Helianthus angustifolius,-86.05,31.92
Helianthus angustifolius,-88.76,30.4
Helianthus angustifolius,-86.47,34.64
Helianthus angustifolius,-94.95,29.46
Helianthus angustifolius,-92.47,31.45
Helianthus angustifolius,-94.7,31.33
Helianthus angustifolius,-94.95,29.8
Helianthus angustifolius,-81.76,29.47
Helianthus angustifolius,-88.66,30.45
Helianthus angustifolius,-89.8,33.8
Helianthus angustifolius,-85.94,31.81
Helianthus angustifolius,-91.5,34.78
Helianthus angustifolius,-87.64,30.35
